Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,,
Geosciences         ATMO,,,,,,,,,,,,,
MARB,,,,,,,,,,,,,
METL,,5,3,2,10,,,,,,,10,
METR,,,,,,,,,,,,,
OCNG,,,,,,,,1,1,,,1,
WMHS,,,,,,,,,,,,,
Subtotal,,5,3,2,10,,,1,1,,,11,
Liberal Arts         ANTH,1,,,,1,,,,,,,1,
CLSS,,,1,,1,,,,,,,1,
COMM,,,,,,,,,,,,,
ECON,,,,,,1,1,1,1,,,2,
ENGL,,,,1,1,,,1,1,,,2,
HISP,,,,,,,,,,,,,
HIST,,,1,,1,,,,,,,1,
INTS,,,,1,1,,,,,,,1,
PHIL,,,,,,,,1,1,,,1,
POLS,3,,,,3,,,1,1,,,4,
PSYC,,,,1,1,,,,,,,1,
RUSS,,,,,,,,,,,,,
SOCI,,,,,,,,1,1,,,1,
WGST,,,,,,,,,,,,,
Subtotal,4,,2,3,9,1,1,5,5,,,15,
Science                 APHY,,,,,,,,,,,,,
APMS,1,1,,,2,,,,,,,2,
BOTN,,,,,,,,,,,,,
CHEM,2,,9,2,13,,,3,3,,,16,
GENE,,,,,,,,,,,,,
MATH,1,,,,1,,,,,,,1,
NRSC,,,,,,,,,,,,,
PHYS,1,1,4,4,10,,,3,3,,,13,
STAT,,,,,,2,2,,,,,2,
Subtotal,5,2,13,6,26,2,2,6,6,,,34,
Veterinary            BIMS,,,,,,,,1,1,,,1,
Medicine              VTMD,,,,,,,,,,6,6,6,
Subtotal,,,,,,,,1,1,6,6,7,
General Studies  GEST,,1,,,1,,,,,,,1,
TEAM,,,,,,,,,,,,,
Subtotal,,1,,,1,,,,,,,1,
Other - Special   MARB,,,,,,,,,,,,,
Populations         PHLT,,,,,,,,,,,,,
REEP,,,,1,1,,,,,,,1,
Subtotal,,,,1,1,,,,,,,1,
University            Total,16,15,46,43,120,26,26,24,24,6,6,176,
"Prepared by DARS, 05 Sep 13",,,,,,,,,,,,,
