Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,AGEC,,,,,,,,,,,,,,
,ALEC,,,,,,,,,,,,,,
,ANSC,,,,,,,,,,1,1,,,1
,BAEN,,,,,,,,,,,,,,
,BCBP,,,,,,,,,,,,,,
,CLAG,,,,,,,,,,,,,,
,ENTO,,,,,,,,,,,,,,
,ESSM,,,,,,,,,,,,,,
,HRSC,,,,,,,,,,,,,,
,NFSC,,1,,,,1,,,,,,,,1
,PLPM,,1,,,,1,,,,,,,,1
,POSC,,,,,,,,,,,,,,
,RPTS,,,1,,,1,,,,,,,,1
,SCSC,,,,,,,,,,,,,,
,WFSC,,,,,,,,,,,,,,
,Subtotal,,2,1,,,3,,,,1,1,,,4
Architecture,ARCH,,,,,,,,,,,,,,
,CLAR,,,,,,,,,,,,,,
,COSC,,,,,,,,,,,,,,
,LAUP,,,1,,,1,,,,,,,,1
,VIZA,,,,,,,,,,,,,,
,Subtotal,,,1,,,1,,,,,,,,1
Business Admin,ACCT,,,1,,,1,,,,,,,,1
,CLBA,1,1,,,,2,,,,,,,,2
,FINC,,,,,,,,,,,,,,
,INFO,,,,1,,1,,,,,,,,1
,MGMT,,,,,,,,,,,,,,
,MKTG,,,,,,,,,,,,,,
,Subtotal,1,1,1,1,,4,,,,,,,,4
Education,CLED,,,,,,,,,,,,,,
,EAHR,,,,,,,,,,,,,,
,EPSY,,,,,,,,,,,,,,
,HLKN,,,1,,,1,,,,,,,,1
,TLAC,,,,1,,1,,,,,,,,1
,Subtotal,,,1,1,,2,,,,,,,,2
